#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,price
568,52.36595994,4.896754859,1.481250496,4,1,2,91,1,103,2,0,Possible,Entire home/apt,200
608,52.40182512,4.910823207,2.63141257,4,1,2,91,1,103,2,3,Possible,Entire home/apt,175
805,52.37078295,4.884055496,1.400220466,4,1,2,91,1,103,2,0,Possible,Entire home/apt,350
1022,52.35650435,4.887435794,2.648968439,3,1.5,1,91,1,103,2,1,Possible,Entire home/apt,400
1040,52.37272407,4.896201578,0.751077946,4,1,2,91,1,103,2,0,Possible,Entire home/apt,400
1096,52.36909885,4.876784511,1.902033177,4,1,1,91,1,103,2,0,Possible,Entire home/apt,375
1181,52.37009084,4.880551574,1.631764563,4,1,0,91,1,103,2,7,Possible,Entire home/apt,165
1240,52.36562697,4.863559731,2.862533423,3,1.5,2,91,1,103,2,1,Possible,Entire home/apt,140
1525,52.37979193,4.889143002,0.701084492,4,1,1,91,1,103,2,5,Possible,Entire home/apt,200
1848,52.36326896,4.876405085,2.360156402,4,1,1,91,1,103,2,3,Possible,Entire home/apt,150
1962,52.36041679,4.894720868,2.11040082,2,1,0,91,1,103,2,1,Possible,Entire home/apt,110
2121,52.35535095,4.887928281,2.76159305,4,1,2,91,1,103,2,13,Possible,Entire home/apt,170
2125,52.37199434,4.879959293,1.544068091,2,1,0,91,3,103,2,35,Possible,Entire home/apt,150
2186,52.37538966,4.873150637,1.832101309,4,1.5,2,91,1,103,2,1,Possible,Entire home/apt,400
2270,52.37705533,4.894493147,0.410389699,2,1.5,1,91,1,103,2,1,Possible,Entire home/apt,400
2712,52.3546386,4.937632862,3.763240754,4,2.5,2,91,1,103,2,3,Possible,Entire home/apt,400
2769,52.37447101,4.887618336,0.957619684,4,2.5,2,91,1,103,2,50,Possible,Entire home/apt,150
2823,52.37170945,4.951167389,3.606878141,2,1,0,91,2,103,2,5,Possible,Entire home/apt,155
2831,52.38053466,4.890541069,0.621298154,3,1,1,91,3,103,2,13,Possible,Entire home/apt,175
2861,52.37112287,4.886348444,1.261408125,3,1.5,2,91,1,103,2,4,Possible,Entire home/apt,235
2876,52.35429583,4.891738108,2.815075604,4,1.5,2,91,1,103,2,7,Possible,Entire home/apt,185
3022,52.3530664,4.850282294,4.42138615,4,1.5,2,91,1,103,2,0,Possible,Entire home/apt,135
3088,52.35426301,4.867090231,3.533824918,4,2.5,3,91,1,103,2,0,Possible,Entire home/apt,325
3237,52.40742808,4.930222757,3.76928902,4,2,2,91,4,103,2,3,Possible,Entire home/apt,225
3492,52.38279471,4.886452658,0.967238968,4,1.5,0,91,1,103,2,9,Possible,Entire home/apt,125
3530,52.37007869,4.93007806,2.312519197,3,1.5,1,91,1,103,2,0,Possible,Entire home/apt,175
3531,52.35526592,4.895639013,2.670877375,3,1,1,91,2,103,2,1,Possible,Entire home/apt,145
3545,52.3628333,4.910154866,1.95775045,3,1.5,2,91,1,103,2,0,Possible,Entire home/apt,300
3910,52.36654778,4.885490527,1.693469719,3,1,1,91,1,103,2,2,Possible,Entire home/apt,275
4072,52.38268295,4.854402718,3.078925864,4,1,2,91,1,103,2,1,Possible,Entire home/apt,400
4088,52.3844174,4.878703334,1.521285524,4,1,1,91,1,103,2,19,Possible,Entire home/apt,95
4495,52.3831822,4.87321291,1.832933881,2,1,1,91,1,103,2,0,Possible,Entire home/apt,400
4813,52.37052242,4.919962274,1.693393573,4,1,0,91,2,103,2,24,Possible,Entire home/apt,125
4850,52.36991699,4.890924074,1.180973381,4,1,2,91,1,103,4,1,Possible,Entire home/apt,340
4873,52.34225212,4.916634308,4.267415632,4,1.5,2,91,1,103,2,1,Possible,Entire home/apt,175
4875,52.36463441,4.897287212,1.623906583,4,2,2,91,1,103,2,2,Possible,Entire home/apt,400
5211,52.35753697,4.875022617,2.920962923,4,1,1,91,1,103,2,12,Possible,Entire home/apt,190
5554,52.38124934,4.870784419,1.95662092,2,1,0,91,1,103,2,0,Possible,Entire home/apt,135
5724,52.36019055,4.980268143,5.877018132,4,2,2,91,1,103,2,0,Possible,Entire home/apt,225
5881,52.3599959,4.906043581,2.179513683,4,1.5,2,91,2,103,3,19,Possible,Entire home/apt,150
6099,52.35683684,4.888098524,2.600180785,2,1.5,0,91,1,103,2,0,Possible,Entire home/apt,140
6403,52.35269812,4.849222354,4.502545038,4,1.5,2,91,1,103,2,0,Possible,Entire home/apt,400
6912,52.37449425,4.89800505,0.530597243,4,1,2,91,1,103,2,1,Possible,Entire home/apt,400
6921,52.37228946,4.895834366,0.80460011,2,1,1,91,1,103,2,0,Possible,Entire home/apt,200
7001,52.35753423,4.898737582,2.406848743,3,1.5,1,91,1,103,2,3,Possible,Entire home/apt,190
7070,52.38130444,4.871282807,1.923787592,2,1,0,91,1,103,2,0,Possible,Entire home/apt,160
7280,52.36203976,4.886529677,2.097123768,3,1,0,91,2,103,2,0,Possible,Entire home/apt,400
7401,52.37609582,4.944478567,3.075153689,5,1.5,2,91,1,103,2,1,Possible,Entire home/apt,250
7544,52.37751401,4.88141729,1.236067716,4,1,2,91,1,103,2,6,Possible,Entire home/apt,300
8506,52.35717312,4.853471159,3.96359561,4,1,1,91,1,103,2,0,Possible,Entire home/apt,400
8552,52.36827366,4.891555526,1.325429078,4,2.5,2,91,1,103,2,5,Possible,Entire home/apt,400
8849,52.36248065,4.890192661,1.959661192,4,1,3,91,1,103,2,2,Possible,Entire home/apt,225
9193,52.37423854,4.879627852,1.451683156,4,1,2,91,1,103,2,0,Possible,Entire home/apt,250
9583,52.35679661,4.888038569,2.605655536,2,1.5,0,91,1,103,2,3,Possible,Entire home/apt,135
9815,52.37454382,4.939474284,2.765066297,4,1,2,91,1,103,2,0,Possible,Entire home/apt,400
10162,52.35185655,4.888661183,3.124000443,4,1,1,91,1,103,2,12,Possible,Entire home/apt,400
10228,52.35708293,4.8781004,2.85119189,4,2.5,3,91,1,103,2,2,Possible,Entire home/apt,200
10405,52.37524412,4.877114474,1.576088407,2,1,1,91,1,103,2,1,Possible,Entire home/apt,120
10408,52.36905796,4.878607633,1.806428528,4,1.5,1,91,1,103,2,0,Possible,Entire home/apt,400
10411,52.36397214,4.879174158,2.179043019,4,3.5,3,91,1,103,3,1,Possible,Entire home/apt,225
10466,52.37433663,4.899951073,0.540373168,2,1,1,91,1,103,2,10,Possible,Entire home/apt,135
10807,52.36369299,4.877812412,2.261990276,2,1,0,91,1,103,2,6,Possible,Entire home/apt,135
11015,52.37088819,4.874090193,1.950979008,4,1,2,91,4,103,3,5,Possible,Entire home/apt,400
11438,52.36442991,4.900011643,1.640578393,4,2.5,4,91,1,103,2,4,Possible,Entire home/apt,175
11677,52.38176905,4.873130077,1.806946947,2,1,1,91,1,103,2,1,Possible,Entire home/apt,150
11754,52.36665923,4.906634936,1.475660021,4,1,2,91,1,103,2,0,Possible,Entire home/apt,240
11775,52.37551363,4.887417372,0.911586672,2,1,1,91,1,103,2,6,Possible,Entire home/apt,160
11780,52.36156627,4.900258757,1.959132717,4,1,3,91,1,103,2,24,Possible,Entire home/apt,250
12120,52.37802484,4.853174326,3.140501837,2,1,1,91,1,103,3,11,Possible,Entire home/apt,400
12313,52.39012789,4.938531871,2.917370777,4,2.5,4,91,6,103,2,6,Possible,Entire home/apt,400
12673,52.35734021,4.911785755,2.568591356,2,1,1,91,1,103,2,0,Possible,Entire home/apt,400
12865,52.36016699,4.90504052,2.147813572,2,1,1,91,1,103,2,1,Possible,Entire home/apt,400
13024,52.36250214,4.877833548,2.363413209,2,1,0,91,1,103,2,5,Possible,Entire home/apt,135
13242,52.3735168,4.859190935,2.801663493,2,1.5,1,91,1,103,2,4,Possible,Entire home/apt,209
13284,52.37300268,4.857901483,2.899988555,2,1.5,1,91,1,103,3,1,Possible,Entire home/apt,400
13386,52.37631588,4.893017128,0.539671575,4,1,2,91,1,103,2,5,Possible,Entire home/apt,160
13626,52.36842311,4.881787308,1.692358462,4,1.5,1,91,1,103,2,1,Possible,Entire home/apt,200
13714,52.37556028,4.888675449,0.833642268,3,1,0,91,2,103,2,4,Possible,Entire home/apt,150
13781,52.37964897,4.876249812,1.573304922,2,1.5,0,91,1,103,2,5,Possible,Entire home/apt,400
13978,52.37269706,4.854758713,3.115224834,3,1,2,91,1,103,2,0,Possible,Entire home/apt,150
14015,52.36058337,4.897512193,2.071647981,3,1,2,91,3,103,7,0,Possible,Entire home/apt,135
14507,52.3741711,4.904565925,0.657478572,4,1,1,91,3,103,1,25,Possible,Entire home/apt,250
14602,52.35600859,4.90025915,2.576538732,4,1,1,91,1,103,2,2,Possible,Entire home/apt,155
14782,52.36183515,4.859312234,3.335869432,4,1,1,91,1,103,3,0,Possible,Entire home/apt,400
13721,52.36537079,4.911327615,1.734752675,4,1,2,91,1,103,2,8,Possible,Private room,195
361,52.3828632,4.873069819,1.834143666,2,1,1,50,1,106,2,3,Not Possible,Entire home/apt,120
1682,52.35643866,4.8298801,5.353684284,4,1,2,50,1,106,2,10,Not Possible,Entire home/apt,139
2393,52.36253812,4.914782811,2.12334828,2,1,1,50,1,106,3,18,Not Possible,Entire home/apt,140
2490,52.38139767,4.88062532,1.29903769,2,1,0,50,1,106,2,7,Not Possible,Entire home/apt,99
3253,52.3424224,4.904975273,4.102980205,2,1,0,50,1,106,2,0,Not Possible,Entire home/apt,90
3874,52.36948001,4.872030397,2.14932368,4,1,2,50,1,106,3,0,Not Possible,Entire home/apt,180
4396,52.38224104,4.887628698,0.869453004,8,3,3,50,4,106,3,0,Not Possible,Entire home/apt,285
4399,52.38052893,4.857309906,2.861094007,2,1,1,50,1,106,3,0,Not Possible,Entire home/apt,129
4611,52.32716078,4.878619042,5.951707391,2,1,0,50,1,106,3,0,Not Possible,Entire home/apt,129
5138,52.34208041,4.869492867,4.597024217,2,1,1,50,1,106,3,0,Not Possible,Entire home/apt,160
5365,52.36855463,4.891266627,1.305112436,4,1,1,50,1,106,3,2,Not Possible,Entire home/apt,250
5590,52.34514796,4.846525085,5.215304611,2,1,1,50,1,106,2,2,Not Possible,Entire home/apt,70
5962,52.34166897,4.904695628,4.184697364,3,1,2,50,1,106,3,1,Not Possible,Entire home/apt,165
6001,52.34518303,4.861997846,4.553350847,4,1,3,50,4,106,3,1,Not Possible,Entire home/apt,239
7057,52.36279805,4.868940943,2.756269104,2,1,1,50,1,106,180,1,Not Possible,Entire home/apt,145
7231,52.35032209,4.903041638,3.217181026,4,1,2,50,1,106,3,2,Not Possible,Entire home/apt,155
7348,52.35133216,4.899096869,3.095677035,4,1,3,50,4,106,3,1,Not Possible,Entire home/apt,169
7361,52.38070448,4.882361059,1.170092455,4,1,2,50,1,106,3,6,Not Possible,Entire home/apt,280
7473,52.36135795,4.889319078,2.09689068,2,1,0,50,1,106,2,3,Not Possible,Entire home/apt,110
7862,52.38014613,4.88996538,0.650837598,4,1.5,2,50,2,106,4,3,Not Possible,Entire home/apt,200
7974,52.37070349,4.897673204,0.950463437,2,1.5,1,50,2,106,3,4,Not Possible,Entire home/apt,130
8407,52.36227785,4.890414895,1.976308543,2,1,0,50,1,106,3,0,Not Possible,Entire home/apt,120
8486,52.3547921,4.924345649,3.194999847,2,1,1,50,1,106,3,0,Not Possible,Entire home/apt,85
9215,52.40918336,4.900973652,3.334768336,2,1,2,50,1,106,3,0,Not Possible,Entire home/apt,195
10590,52.38277684,4.874202445,1.757126049,2,1,1,50,1,106,2,2,Not Possible,Entire home/apt,100
10890,52.3856518,4.890944141,0.920415281,3,1,2,50,2,106,3,5,Not Possible,Entire home/apt,110
11124,52.35624243,4.892090226,2.598131558,2,2,2,50,1,106,2,2,Not Possible,Entire home/apt,119
11444,52.35532298,4.875646586,3.104542487,4,1,2,50,1,106,3,1,Not Possible,Entire home/apt,295
11948,52.35244876,4.898207942,2.972670444,4,1,3,50,1,106,3,3,Not Possible,Entire home/apt,229
12334,52.35582535,4.933513404,3.476880843,2,1,1,50,1,106,2,5,Not Possible,Entire home/apt,85
12979,52.35089404,4.848390146,4.677807825,2,1,1,50,1,106,2,1,Not Possible,Entire home/apt,115
13460,52.36082992,4.897190588,2.045810337,2,1,1,50,1,106,3,3,Not Possible,Entire home/apt,145
13586,52.36159749,4.891025506,2.036347419,4,2,3,50,2,106,3,0,Not Possible,Entire home/apt,180
13774,52.36070205,4.889118347,2.170252169,2,1,1,50,1,106,3,4,Not Possible,Entire home/apt,129
14025,52.37842267,4.889554983,0.675330541,2,1,1,50,1,106,3,13,Not Possible,Entire home/apt,85
2776,52.3560398,4.991498485,6.755909357,4,1,1,50,2,106,3,0,Not Possible,Private room,169
