#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,review_avg,price
7656,52.34567838,4.894956767,3.736228189,1,0,1,1,1,1,0,0,Not Possible,Private room,0.805393883,42
9768,52.34538875,4.817839169,6.690642422,1,0,1,2,1,2,1,16,Not Possible,Shared room,0.708961613,25
456,52.36275627,4.951517161,3.977812574,2,0,1,1,1,1,1,87,Not Possible,Private room,0.76806196,75
2578,52.34484418,4.89819759,3.817490191,2,0,1,4,1,4,1,8,Not Possible,Private room,0.787619295,85
3844,52.36710497,4.860719075,2.949743359,2,0,1,3,1,7,1,3,Not Possible,Private room,0.740229757,75
4466,52.36633391,4.860398537,3.008865574,2,0,1,3,1,7,1,2,Not Possible,Private room,0.777272551,85
7449,52.34309718,4.912670343,4.110107726,2,0,1,2,1,3,1,59,Not Possible,Private room,0.767149842,55
10990,52.36711912,4.858678187,3.07298468,2,0,1,3,1,7,1,7,Not Possible,Private room,0.725571084,70
11294,52.37356864,4.877693952,1.601426114,2,0,1,1,1,1,1,12,Not Possible,Entire home/apt,0.704653345,70
931,52.36787661,4.883529747,1.65652219,3,0,1,1,1,18,1,0,Not Possible,Private room,0.815662062,35
6789,52.3967454,4.915302107,2.228195762,3,0,1,1,1,1,1,11,Not Possible,Entire home/apt,0.884233091,50
11392,52.38337485,4.885104873,1.0773496,3,0,1,1,1,1,1,151,Not Possible,Private room,0.808645719,107
6126,52.37631888,4.890027581,0.71318717,4,0,1,3,2,3,1,7,Not Possible,Shared room,0.705903122,100
795,52.36090556,4.914574577,2.276773824,1,0.5,1,2,1,2,1,5,Not Possible,Private room,0.715607747,55
1845,52.36576666,4.877312484,2.115803023,1,0.5,1,1,1,1,1,0,Not Possible,Private room,0.727083355,56
7179,52.36268856,4.853074593,3.64061692,1,0.5,1,2,1,2,1,40,Not Possible,Private room,0.817618743,59
13831,52.3698704,4.869272451,2.293132157,1,0.5,1,1,1,1,1,20,Not Possible,Private room,0.708178778,80
13945,52.36040675,4.857966675,3.50300076,1,0.5,1,2,1,2,1,115,Possible,Private room,0.872310283,49
9613,52.3752319,4.845636479,3.675681938,2,0.5,0,1,1,1,1,6,Not Possible,Entire home/apt,0.724716227,90
12826,52.36662701,4.872871377,2.27938036,2,0.5,0,1,1,1,1,156,Possible,Private room,0.740353992,72
1015,52.38908167,4.942279065,3.107215982,2,0.5,1,1,1,1,1,0,Not Possible,Private room,0.867764411,60
1877,52.37799582,4.932392184,2.239861127,2,0.5,1,1,1,1,1,33,Possible,Private room,0.840849253,90
2613,52.36009361,4.902856431,2.134666653,2,0.5,1,1,1,1,1,58,Not Possible,Entire home/apt,0.87415563,55
3142,52.34367582,4.863882863,4.625319968,2,0.5,1,1,1,1,1,129,Possible,Private room,0.885794596,45
3960,52.37350765,4.898867154,0.632497981,2,0.5,1,15,1,15,1,6,Not Possible,Private room,0.812327727,120
4281,52.36896435,4.850370672,3.516958168,2,0.5,1,1,1,1,1,1,Not Possible,Private room,0.887873296,45
5907,52.35459641,4.844950905,4.597146,2,0.5,1,1,1,1,1,0,Not Possible,Private room,0.708599989,50
6374,52.34936873,4.798110988,7.632231293,2,0.5,1,2,1,2,1,171,Not Possible,Private room,0.808752357,40
8696,52.34951654,4.905558196,3.323465391,2,0.5,1,1,1,1,1,3,Not Possible,Private room,0.856598123,50
8971,52.38301158,4.882359601,1.233432758,2,0.5,1,1,1,1,1,9,Not Possible,Entire home/apt,0.741068229,84
10642,52.35240205,4.856930144,4.14458856,2,0.5,1,1,1,1,1,3,Not Possible,Private room,0.752718855,50
11477,52.38496389,4.869911007,2.102663309,2,0.5,1,2,1,2,1,60,Not Possible,Shared room,0.831695056,50
12000,52.35969014,4.914726687,2.402522655,2,0.5,1,2,1,2,1,11,Not Possible,Private room,0.845050289,65
12580,52.36008584,4.893952981,2.155133471,2,0.5,1,1,1,2,1,1,Not Possible,Private room,0.755551305,70
12730,52.36110814,4.94083274,3.45365473,2,0.5,1,3,1,3,1,28,Possible,Private room,0.930169441,45
13050,52.35045011,4.799362513,7.503817822,2,0.5,1,2,1,2,1,184,Not Possible,Private room,0.812765088,60
14664,52.35465738,4.830191507,5.431748518,2,0.5,1,1,1,1,1,51,Possible,Private room,0.759017932,40
2778,52.37355664,4.899852311,0.626548909,3,0.5,1,15,1,15,1,25,Not Possible,Private room,0.718198503,135
10884,52.35130639,4.90483861,3.120110487,3,0.5,1,1,1,1,1,6,Not Possible,Entire home/apt,0.720683298,79
8461,52.38270526,4.902880942,0.455461483,4,0.5,2,1,1,1,1,65,Possible,Entire home/apt,0.750923819,80
10246,52.35471171,4.806235959,6.883773243,4,0.5,2,1,1,1,1,3,Not Possible,Entire home/apt,0.750627823,100
11510,52.35199157,4.998709977,7.383512193,4,0.5,3,1,1,1,1,1,Not Possible,Entire home/apt,0.800402633,90
528,52.38270715,4.836138988,4.310970164,2,0.5,1,2,2,2,1,22,Possible,Private room,0.79789378,75
6072,52.35357868,4.81240185,6.555288002,2,0.5,1,2,2,2,1,8,Not Possible,Private room,0.7461555,47
9839,52.36099084,4.906988802,2.08627251,2,0.5,1,1,2,2,1,3,Not Possible,Private room,0.74829611,88
11760,52.3569351,4.909300514,2.562033178,2,0.5,1,4,2,4,1,1,Possible,Private room,0.842535204,70
12863,52.38213729,4.837010887,4.246747841,2,0.5,1,2,2,2,1,37,Possible,Private room,0.707009149,73
1998,52.36879723,4.86610166,2.53895596,3,0.5,1,3,2,3,1,115,Possible,Private room,0.746344307,100
2228,52.36934754,4.932957128,2.523744929,3,0.5,1,1,2,1,1,33,Not Possible,Private room,0.771371008,59
14392,52.36114947,4.939653177,3.386158585,3,0.5,1,3,2,3,1,22,Possible,Private room,0.709627302,75
11493,52.38167157,4.90027532,0.281757773,4,0.5,0,2,2,2,1,3,Possible,Entire home/apt,0.714452778,81
334,52.36781877,4.866536048,2.564556985,4,0.5,1,3,2,3,1,147,Possible,Private room,0.715395293,99
760,52.3809797,4.902344609,0.280461709,4,0.5,2,2,2,2,1,1,Possible,Entire home/apt,0.727149583,141
2821,52.35856961,4.887475824,2.430676112,4,0.5,2,1,2,1,1,0,Not Possible,Entire home/apt,0.745388326,139
8830,52.39195145,4.920552372,2.015830058,2,0.5,1,1,4,1,1,111,Possible,Private room,0.727023993,45
4743,52.31956588,4.977610504,8.488902655,0,1,1,1,1,1,1,7,Possible,Entire home/apt,0.716833587,75
553,52.35568282,4.949269094,4.273017656,1,1,0,2,1,2,1,0,Not Possible,Entire home/apt,0.780862301,55
1431,52.36944837,4.877231643,1.85467723,1,1,0,1,1,1,1,13,Not Possible,Private room,0.711719379,41
6719,52.38820246,4.912319208,1.329446862,1,1,0,1,1,1,1,0,Not Possible,Entire home/apt,0.711477573,45
13296,52.38497681,4.879380175,1.504459224,1,1,0,1,1,1,1,0,Not Possible,Entire home/apt,0.714972786,98
112,52.32383606,4.962745099,7.503674163,1,1,1,1,1,1,1,16,Not Possible,Private room,0.840831634,30
225,52.35237535,4.853174226,4.327841206,1,1,1,1,1,1,1,8,Not Possible,Private room,0.894450174,50
371,52.35787227,4.889854657,2.456322521,1,1,1,2,1,2,1,62,Possible,Private room,0.758208069,79
627,52.40376406,4.905372231,2.760467614,1,1,1,1,1,1,1,27,Not Possible,Private room,0.834157364,74
671,52.3686074,4.856540869,3.138390345,1,1,1,2,1,2,1,6,Possible,Private room,0.881461165,61
819,52.37811098,4.802391872,6.583763299,1,1,1,2,1,2,1,35,Possible,Private room,0.765775004,22
1001,52.35100083,4.903011685,3.141822563,1,1,1,2,1,2,1,0,Possible,Private room,0.759077098,60
1004,52.36144981,4.937155288,3.230641206,1,1,1,1,1,1,1,1,Not Possible,Private room,0.745558221,35
1257,52.35901927,4.784486982,8.114628339,1,1,1,1,1,1,1,26,Not Possible,Private room,0.894851051,30
1310,52.35288553,5.006274002,7.816857407,1,1,1,1,1,1,1,1,Not Possible,Private room,0.871697945,50
1324,52.37668572,4.8460708,3.630434236,1,1,1,1,1,1,1,4,Possible,Entire home/apt,0.820020319,30
1360,52.31600673,4.94550796,7.68633502,1,1,1,1,1,1,1,3,Not Possible,Private room,0.717567614,50
1395,52.38471031,4.891252383,0.827167884,1,1,1,1,1,1,1,4,Not Possible,Private room,0.811268212,85
1535,52.37450069,4.905481952,0.663269944,1,1,1,1,1,1,1,0,Not Possible,Private room,0.933535308,60
1700,52.34830666,4.867678528,4.05214133,1,1,1,1,1,1,1,0,Possible,Private room,0.807941825,37
1997,52.36833839,4.849753364,3.579469187,1,1,1,2,1,2,1,127,Possible,Private room,0.913259307,57
2150,52.3767271,4.859559297,2.718550109,1,1,1,1,1,1,1,4,Not Possible,Private room,0.749516083,75
2182,52.36093963,4.85265756,3.766134127,1,1,1,3,1,3,1,37,Not Possible,Private room,0.811076629,40
2189,52.35975308,4.866176048,3.123432473,1,1,1,1,1,1,1,11,Not Possible,Private room,0.871347538,70
2381,52.3534276,4.919503528,3.170225747,1,1,1,1,1,3,1,145,Possible,Private room,0.750156462,60
2698,52.38241212,4.871862171,1.904038596,1,1,1,2,1,2,1,5,Possible,Private room,0.793532691,55
2726,52.36217009,4.850716825,3.807973313,1,1,1,1,1,1,1,15,Not Possible,Private room,0.866342163,55
2774,52.34926185,4.874913064,3.718598451,1,1,1,3,1,3,1,0,Not Possible,Private room,0.849773106,75
2796,52.29665506,4.972100044,10.41456379,1,1,1,1,1,1,1,2,Not Possible,Private room,0.702002919,30
2935,52.34628918,4.906801677,3.690050993,1,1,1,1,1,1,1,2,Not Possible,Private room,0.937775108,30
